1,2,3,4,5,6,7,8,9,10
银行中级java开发工程师,长沙·开福区·湘雅路,9-14K·13薪,3-5年,本科,北京汇天世纪,计算机软件,银行 java 金融 保险,年终奖，13薪，五险一金，带薪年假，定期体检，节日福利,/job_detail/d86662aaec1fade71nFy2ti5FlpW.html
java后端开发工程师,长沙·长沙县·星城国际,10-15K,3-5年,本科,湖南创思,计算机软件,分布式技术 多线程 微服务架构 Spring java,住房补贴，五险一金，节日福利，带薪年假，全勤奖，零食下午茶，补充医疗保险,/job_detail/fab246ed4891cd141nFy2dS8FFBU.html
java开发工程师（长沙办事处）,长沙·芙蓉区·马王堆,10-15K,1-3年,本科,浩鲸科技,通信/网络设备,java,定期体检，股票期权，免费班车，餐补，交通补助，通讯补贴，补充医疗保险，年终奖，员工旅游，节日福利，带薪年假，零食下午茶，五险一金,/job_detail/4a120285b3c2f6521nN52ty5FFpQ.html
JAVA开发工程师,长沙·开福区·开福万达,8-13K,3-5年,大专,齿兀,咨询,java,员工旅游，节日福利，年终奖，交通补助，餐补，加班补助，包吃,/job_detail/9b2c5d63fcb385d21XR409W8F1tR.html
Java开发工程师-WCS,长沙·天心区·黄土岭,6-10K,1-3年,大专,FLUX,计算机软件,java 软件开发 物流软件,员工旅游，定期体检，股票期权，节日福利，五险一金，年终奖，带薪年假，零食下午茶，年会旅游,/job_detail/1322ddba3da5da2a1XR53dS9GFZZ.html
java程序员,长沙·岳麓区·麓谷,7-9K,1-3年,本科,蚁坊软件,计算机软件,java list 微服务 数据结构 set map scala,零食下午茶，五险一金，带薪年假，节日福利，定期体检，补充医疗保险，通讯补贴，餐补,/job_detail/3c3ad9c91fec89571nd63N26EltV.html
Java软件开发,长沙·芙蓉区·汽车东站,18-35K,经验不限,本科,华为技术有限公司,计算机软件,java python js,餐补，加班补助，离职补偿，免费班车，全勤奖，零食下午茶，补充医疗保险，年终奖，通讯补贴，交通补助，带薪年假，员工旅游，定期体检，股票期权，五险一金，住房补贴，节日福利,/job_detail/3f8e5b9d8573b69c1nZ80tm8EFRS.html
java开发工程师,长沙·岳麓区·涉外经济学院,10-15K,3-5年,本科,湖南伍二零,计算机软件,java,节日福利，五险一金，带薪年假，餐补,/job_detail/fd75857f124623691nd609W7E1BS.html
诚聘java讲师 高薪,长沙·岳麓区·麓谷,16-30K,3-5年,大专,马士兵(北京)教...,在线教育,HTML CSS java,带薪年假，节日福利，年终奖，住房补贴，五险一金，员工旅游，零食下午茶,/job_detail/42a89602fea992581nxz3ti-GFtR.html
Java开发工程师(中级),长沙·岳麓区·汽车西站,12-20K,1-3年,大专,链有信,互联网,java,节日福利，员工旅游，带薪年假，五险一金，年终奖，零食下午茶,/job_detail/1d04031b11739be41XR_2Ni4GFtX.html
软件开发工程师（五险一金）,长沙,10-15K,1-3年,本科,百令信息科技,互联网,数据结构 Linux java,节日福利，五险一金，半年度奖金，过年金，员工旅游，带薪年假，零食下午茶,/job_detail/228d6a43bdbbbd7b1XRz2NS6ElRR.html
后端工程师,长沙·天心区·省政府,10-15K,3-5年,本科,湖南宝泓,医疗健康,软件工程师 后端开发 MySQL 微服务架构,节日福利，年终奖，定期体检，五险，带薪年假，员工旅游，五险一金,/job_detail/0ca858728ec351671XZ63N-9FFpZ.html
PLM开发工程师,长沙·岳麓区·桐梓坡,8-13K·15薪,3-5年,本科,中联重科,机械设备/机电/重工,plm tc java sql,通讯补贴，五险一金，包吃，免费班车，股票期权，带薪年假，定期体检，年终奖,/job_detail/3aa4c1cce95638c10X1z39y_E1Q~.html
服务器开发（长沙）,长沙,12-20K·13薪,1-3年,大专,乐堂控股集团,游戏,Python c++ java 游戏 服务器,员工旅游，包吃，定期体检，节日福利，五险一金，餐补，年终奖,/job_detail/6b66487f9c085c3f1XR_3960F1dV.html
软件开发工程师,长沙,10-15K,1-3年,本科,百令信息科技,互联网,HTML CSS 数据结构 java python,零食下午茶，过年金，半年度奖金，五险一金，节日福利，员工旅游，带薪年假,/job_detail/85e77899f0f8c0ab1n152Nm7EFJT.html
软件开发工程师（五险一金）,长沙,9-14K,1-3年,本科,百令信息科技,互联网,HTML Python CSS 数据结构 java linux,员工旅游，零食下午茶，五险一金，过年金，节日福利，带薪年假，半年度奖金,/job_detail/4adfc2b619e95a9a1nNz2tu7EFpT.html
GIS软件开发工程师,长沙·岳麓区·含浦,5-10K,1-3年,大专,润图科技,其他专业服务,MySQL PostgreSQL 信息化 Spring 软件工程师,年终奖，定期体检，包吃，全勤奖，带薪年假，餐补，员工旅游，加班补助，节日福利，五险一金,/job_detail/1eb73d621a6b7eb81nB52N6-EVFZ.html
B/S后端开发工程师,长沙·开福区·伍家岭,10-15K·13薪,1-3年,本科,华通长沙分,计算机软件,后端开发 Windows Linux Oracle MySQL,五险一金，年终奖，带薪年假，通讯补贴，定期体检，节日福利,/job_detail/43d9d75270a4b3601XRz2928GVtV.html
java 架构师,长沙·岳麓区·麓谷,20-35K·16薪,5-10年,本科,中科云谷,互联网,微服务架构 负载均衡技术 容器技术 分布式技术,定期体检，餐补，五险一金，年终奖，带薪年假，免费班车，补充医疗保险，节日福利，住房补贴,/job_detail/207da607a7ad25461XR53ti_FlZY.html
java 技术专家--物流,长沙·岳麓区·麓谷,20-40K·15薪,5-10年,大专,兴盛优选,电子商务,Java 后端开发 架构师 Spring Mybatis Redis,多样化食堂，免费班车，节日福利，年终奖，五险一金，股票期权，住房补贴，零食下午茶，健身房，餐补,/job_detail/badc2877f6eadc281nV63ti8F1JU.html
java 0基础讲师,长沙·岳麓区·麓谷,16-26K,经验不限,学历不限,马士兵(北京)教...,在线教育,HTML CSS,住房补贴，员工旅游，带薪年假，年终奖，节日福利，零食下午茶，五险一金,/job_detail/2fa94f3b165cb2b91nJ83d68E1ZY.html
JAVA 开发,长沙·岳麓区·麓谷,10-15K·16薪,1-3年,本科,长沙规划信息中心,计算机软件,SQL,年终奖，餐补，五险一金，节日福利，包吃，定期体检，带薪年假,/job_detail/81ba5cefb8600e9e3nN72dW4F1U~.html
JAVA 开发,长沙·岳麓区·麓谷,10-15K·14薪,3-5年,本科,长沙规划信息中心,计算机软件,Java,五险一金，年终奖，节日福利，包吃，带薪年假，餐补，定期体检,/job_detail/7326f4e4eab1cb4c3nVy3Ni4EVc~.html
java 开发工程师,长沙·岳麓区·麓谷,7-10K·13薪,1-3年,大专,中长石基,移动互联网,微服务架构 MVC开发 Spring PostgreSQL,员工旅游，带薪年假，年终奖，定期体检，五险一金,/job_detail/f679daea7d79440d1nx53dW7FFFQ.html
Java developer（senior）,长沙·岳麓区·观沙岭,18-24K·13薪,5-10年,大专,博赛软件,互联网,SQL 服务器配置 容器技术 分布式技术 Unix,补充医疗保险，定期体检，员工旅游，健康关怀，加班补助，团队活动，餐补，各种礼，带薪年假，Soho自由，零食下午茶，五险一金，节日福利，年终奖，超长年假,/job_detail/7fb7cecd1360b8e21XV539m_FltT.html
Java 高级 （SD0103）,长沙·岳麓区·麓谷,15-22K·13薪,5-10年,本科,蜜獾信息,计算机软件,Java 微服务 分布式 Spring Boot Spring Cloud,带薪年假，试用期全薪，五险一金，加班补助，年终奖，定期体检，员工旅游，交通补助，节日福利，弹性时间，餐补，补充医疗保险,/job_detail/a37643ea2e2275f803Z93ty_ElQ~.html
java 工程师,长沙·开福区·湘江中路,10-15K·13薪,5-10年,本科,双宁网络,互联网,架构师 Java JavaScript SQL,五险一金,/job_detail/115b15dc1f17ffbc33V529m_E1A~.html
JAVA 开发,长沙·岳麓区·梅溪湖,8-13K,5-10年,学历不限,众驰智越,计算机软件,Java,年终奖，股票期权，带薪年假，零食下午茶，全勤奖，员工旅游，五险一金，节日福利,/job_detail/070330644a64a4a71nN50ti0GFs~.html
Java web开发工程师,长沙·天心区·云塘理工,8-13K·14薪,1-3年,本科,吉威空间,计算机软件,全栈开发 SSH PostgreSQL OA actionsoft,带薪年假，五险一金，餐补，交通补助，节日福利，通讯补贴,/job_detail/2e9239c531cf9e3b1XV63ty-E1VW.html
Java - 长沙,长沙·岳麓区·含浦,9-14K,1-3年,本科,科蓝软件,计算机软件,SpringBoot Spring SpringMVC,带薪年假，股票期权，加班补助，节日福利，员工旅游，五险一金,/job_detail/fd1165f70a2ce31a1n1_0t67EVJU.html
Java Developer Team Leader,长沙·岳麓区·观沙岭,24-28K·15薪,5-10年,大专,博赛软件,互联网,多线程 容器技术 网络编程 消息队列,年终奖，餐补，超长年假，各种礼，团队活动，五险一金，Soho自由，带薪年假，节日福利，补充医疗保险，零食下午茶，健康关怀，加班补助，员工旅游，定期体检,/job_detail/592ba0a49b4b2ce81nJ-29S_F1pY.html
Java 高级工程师（SI0103）,长沙·岳麓区·麓谷,15-22K·14薪,5-10年,本科,蜜獾信息,计算机软件,微服务架构 分布式技术 架构师,年终奖，五险一金，节日福利，补充医疗保险，员工旅游，交通补助，带薪年假，加班补助，试用期全薪，餐补，弹性时间，定期体检,/job_detail/79aae828e0c98eb51nx92NS6GVNS.html
java 中高级软件工程师,长沙·岳麓区·阳光100,10-15K,5-10年,本科,湖南顶壹,计算机软件,SQL Java HTML CSS Spring 服务器配置,零食下午茶，员工旅游，交通补助，五险一金，餐补，加班补助，节日福利，带薪年假,/job_detail/afcb72e1b9c8be8f0HR_2920EVU~.html
Java 后端开发工程师,长沙·开福区·伍家岭,11-20K,3-5年,本科,航天爱威,计算机服务,Java HTML CSS JavaScript Spring SQL,补充医疗保险，五险一金，节日福利，餐补，带薪年假，定期体检,/job_detail/78c5e5c39634c33e1nZz0t20E1JX.html
java 开发工程师,长沙·岳麓区·梅溪湖,6-11K·13薪,经验不限,本科,特力惠,计算机软件,数据结构 SpringCloud MySQL Oracle GIT,节日福利，五险一金，年终奖，补充医疗保险，带薪年假，员工旅游，定期体检,/job_detail/ba248211e08a8ed61n1_39m8GVdY.html
JAVA WEB 开发工程师,长沙,8-13K,1-3年,本科,上海企望,计算机软件,HTML Spring MySQL WEB开发 SVN,交通补助，通讯补贴，五险一金，加班补助，定期体检，餐补，带薪年假，零食下午茶，员工旅游，节日福利,/job_detail/1af2239b48e19a4b1nx72NW-E1JR.html
开发培训讲师（java）,长沙·岳麓区·麓谷,15-25K,3-5年,本科,金蝶精一,计算机软件,培训师 java,通讯补贴，股票期权，补充医疗保险，免费班车，节日福利，年终奖，带薪年假，住房补贴，五险一金，员工旅游，交通补助，定期体检,/job_detail/bece1577a0193bd41n1709W1GFZZ.html
java web 高级开发,长沙·雨花区·高桥,13-16K,5-10年,大专,万汇集团,移动互联网,Java 全栈 Web前端,五险一金，全勤奖，通讯补贴，带薪年假，员工旅游，年终奖，节日福利，零食下午茶,/job_detail/c5cf518cb3b409cf1XZ92tq5EFs~.html
Java 高级工程师（J2EE/J2SE）（长沙）,长沙·岳麓区·麓谷,12-18K,3-5年,本科,凯通科技,计算机软件,微服务架构 服务器配置 容器技术 分布式技术,节日福利，带薪年假，补充医疗保险，定期体检，五险一金，零食下午茶,/job_detail/5fce0dc51e8e3db11XV52tW4GVJT.html
java 后端开发工程师,长沙·岳麓区·岳麓大学城,8-12K·13薪,3-5年,大专,长沙海图,计算机软件,MVC开发 服务器配置 后端开发 Spring Maven,年终奖，餐补，定期体检，员工旅游，加班补助，零食下午茶，餐补，交通补助，通讯补贴，节日福利，股票期权，五险一金，带薪年假,/job_detail/cb4bf61efb8381881XR839y-E1tQ.html
Java 初中级工程师,长沙·天心区·黄土岭,8-12K,1-3年,大专,安娜智能,数据服务,Java JavaScript SQL Shell 分布式技术,节日福利，加班补助，零食下午茶，五险一金，年终奖，全勤奖，带薪年假,/job_detail/16da82aea158ff3e0HR_29u4E1M~.html
Java,长沙·岳麓区·麓谷,11-20K·15薪,3-5年,本科,中科云谷,互联网,SpringBoot SpringCloud IDEA MySQL Redis,五险一金，住房补贴，餐补，补充医疗保险，带薪年假，年终奖，节日福利，定期体检，免费班车,/job_detail/1f6f43e421eaeb311XV72Nu9GFpT.html
Java,长沙·岳麓区·麓谷,15-30K·14薪,经验不限,本科,华为,计算机软件,分布式技术 微服务架构 数据结构 架构师,零食下午茶，员工旅游，餐补，定期体检，五险一金，加班补助，年终奖，补充医疗保险，节日福利，股票期权,/job_detail/985af43f260b14fd1nZ-09y0GFJR.html
Java,长沙·岳麓区·麓谷,12-16K,5-10年,学历不限,正起高科,移动互联网,后端开发 微服务架构 高级软件工程师 SpringCloud,员工旅游，带薪年假，包吃，年终奖，交通补助，五险一金，加班补助，节日福利，零食下午茶,/job_detail/5ee4daaf7db15c951nJ53tm7GVtS.html
Java,长沙·岳麓区·麓谷,15-30K·14薪,经验不限,本科,华为,计算机软件,多线程 SpringBoot,加班补助，节日福利，股票期权，补充医疗保险，定期体检，零食下午茶，五险一金，员工旅游，餐补，年终奖,/job_detail/4aa0f14f72b490501XZ63dW5F1FQ.html
Java,长沙·岳麓区·麓谷,15-30K·14薪,经验不限,本科,华为,计算机软件,微服务架构 MySQL 软件工程师 全栈开发,补充医疗保险，年终奖，节日福利，股票期权，员工旅游，零食下午茶，定期体检，餐补，五险一金，加班补助,/job_detail/1761cc587e3b5e761nx90tu5EVFZ.html
Java,长沙·雨花区·汽车南站,7-10K·13薪,3-5年,大专,骄阳教育,电子商务,Java 移动开发 JQuery Dubbo MySQL,餐补，节日福利，通讯补贴，年终奖，全勤奖，交通补助，五险一金,/job_detail/aaf1a7ddb8606cfa1HV62d60F1Q~.html
Java,长沙·雨花区·人民东路,13-15K·13薪,1-3年,大专,湖南住建信息科技...,计算机软件,分布式技术 数据结构 Spring,零食下午茶，股票期权，全勤奖,/job_detail/45137230fc88e1e51nx52d21FFJT.html
Java,长沙·岳麓区·洋湖垸,18-25K,3-5年,本科,计支宝,计算机软件,SQL PHP Spring Redis,节日福利，年终奖，带薪年假，零食下午茶，股票期权，五险一金,/job_detail/f62e2d450ed26e841XR62t69EltS.html
Java,长沙·长沙县·星城国际,15-25K·16薪,10年以上,本科,三一重工,企业服务,SQL 服务器配置 分布式技术 Linux Spring,节日福利，定期体检，股票期权，包吃，餐补，免费班车，带薪年假，年终奖，五险一金，专利奖金,/job_detail/d4350e8f658b53991XV_0tS4EVNZ.html
Java,长沙·岳麓区·麓谷,5-10K,经验不限,大专,六星教育,在线教育,分布式技术 Spring Dubbo Hibernate Struts,补充医疗保险，包吃，交通补助，带薪年假，节日福利，零食下午茶,/job_detail/ee03b75433ca1c711n192NS_GFNZ.html
Java,长沙·天心区·省政府,7-10K,1-3年,本科,翰智软件,计算机软件,后端开发 Oracle 软件工程师 IDEA GIT,通讯补贴，带薪年假，交通补助，股票期权，零食下午茶，节日福利，五险一金，定期体检,/job_detail/12858d6752121ea71nJ539-1F1NW.html
Java,长沙·岳麓区·麓谷,11-16K·13薪,3-5年,本科,由创科技,互联网,Java 微服务架构 消息队列 Spring Redis,零食下午茶，年终奖，补充医疗保险，定期体检，加班补助，交通补助，健身房，五险一金，节日福利，带薪年假，员工旅游,/job_detail/0f56ef62bb0a44c81nV_2ty8GVpW.html
Java,长沙·岳麓区·麓谷,20-40K,5-10年,大专,兴盛优选,电子商务,分布式技术 多线程 网络协议 数据结构 Linux,年终奖，多样化食堂，五险一金，住房补贴，免费班车，餐补，股票期权，健身房，节日福利，零食下午茶,/job_detail/e5f1fa637bbb65643nR909m5FVM~.html
Java,长沙·岳麓区·洋湖垸,9-14K,3-5年,本科,天网智能科技有限公司,计算机软件,微服务架构 分布式技术 Linux SpringBoot 多进程,五险，餐补，年终奖，带薪年假，节日福利,/job_detail/c4a4f5b4b87b42d01XZ72tm7FlRX.html
Java,长沙·开福区·湘雅路,8-13K,1-3年,本科,SNP,信息安全,Java JavaScript ETL HTML Spring Struts,定期体检，带薪年假，五险一金，全勤奖，年终奖，节日福利，包吃，通讯补贴,/job_detail/178f890edac1a6430XN43d24EVI~.html
Java,长沙·岳麓区·麓谷,16-22K·16薪,1-3年,本科,中科云谷,互联网,微服务架构 负载均衡技术 容器技术 分布式技术,年终奖，定期体检，住房补贴，带薪年假，补充医疗保险，餐补，节日福利，五险一金，免费班车,/job_detail/23e492ac82accb4b1XV729i6F1pW.html
Java,长沙·岳麓区·麓谷,10-15K·16薪,3-5年,本科,中联重科,机械设备/机电/重工,后端开发 Java Web前端,年终奖，股票期权，带薪年假，包吃，五险一金，定期体检，免费班车，通讯补贴,/job_detail/5962f2f92df9baa81n152tq7F1FZ.html
Java,长沙·岳麓区·麓谷,11-20K·13薪,经验不限,本科,中软国际,计算机软件,Javascript Java,五险一金，带薪年假，餐补，员工旅游，零食下午茶，节日福利，免费班车，年终奖，加班补助，定期体检,/job_detail/018b66fdfd88d40103Vz09m_ElE~.html
Java,长沙·岳麓区·麓谷,15-30K·17薪,1-3年,本科,华为技术有限公司,计算机软件,微服务架构 分布式技术 GIT MySQL Redis,免费班车，住房补贴，餐补，年终奖，五险一金，员工旅游，股票期权，加班补助，通讯补贴，零食下午茶，补充医疗保险，定期体检，带薪年假，离职补偿，交通补助，节日福利，全勤奖,/job_detail/6861176c1b26c3051XR_2di-E1tX.html
Java,长沙·雨花区·圭塘,11-15K,3-5年,本科,金锐,银行,负载均衡技术 服务器配置 数据结构 Framework,五险一金，餐补，定期体检，带薪年假，年终奖，交通补助，补充医疗保险，节日福利,/job_detail/9560b954ced29ef21XV42ty8EVNX.html
Java,长沙·岳麓区·茶子山,5-9K,1-3年,本科,融安信息,计算机软件,Java 数据库 企业软件,补充医疗保险，五险一金，节日福利，带薪年假,/job_detail/6bf148de6d12cd041XF82tq9FFE~.html
Java,长沙·岳麓区·麓谷,5-10K,经验不限,本科,博科资讯,计算机软件,数据结构 Oracle MySQL SQL Server SQL,带薪年假，五险一金，节日福利，员工旅游，股票期权,/job_detail/01f75aa6213c5af11nF_3NW1GFFS.html
Java,长沙·开福区·开福万达,10-15K,1-3年,本科,夏天信息科技,移动互联网,Java SQL 分布式技术 Spring MySQL Redis,五险一金，通讯补贴，交通补助，带薪年假，节日福利，餐补，包吃，年终奖，员工旅游,/job_detail/92276c90f521f7ad1nV83ty8GVJQ.html
Java,长沙·岳麓区·观沙岭,13-24K,3-5年,本科,Webull微步,证券/期货,微服务架构 高级软件工程师 客户端开发 SpringCloud,带薪年假，餐补，节日福利，年终奖，五险一金，股票期权，定期体检，交通补助，零食下午茶,/job_detail/8e62c7bfec01cc0f1XZ729i6GVZS.html
Java,长沙·天心区·新开铺,10-15K,3-5年,大专,美天安途,计算机软件,微服务架构 MVC开发 Spring Redis 服务器配置,全勤奖，加班补助，节日福利,/job_detail/ff5de9416c071cf61n1939i0EFtY.html
Java,长沙·岳麓区·青山镇,15-25K·16薪,经验不限,大专,兴盛优选,电子商务,微服务架构 负载均衡技术 分布式技术 软件工程师,节日福利，免费班车，股票期权，餐补，多样化食堂，零食下午茶，年终奖，五险一金，住房补贴，健身房,/job_detail/d135e2f69e68b9dd1XZ92N69FltW.html
Java,长沙·岳麓区·青山镇,15-25K·14薪,3-5年,本科,中兴通讯,移动互联网,Java 容器技术 Spring Linux 微服务架构,定期体检，员工旅游，通讯补贴，股票期权，免费班车，节日福利，加班补助，补充医疗保险，年终奖，餐补，五险一金，交通补助，带薪年假，零食下午茶,/job_detail/9b49f6e6c2d94fb61nR52N-8F1ZW.html
Java,长沙·长沙县·星沙通程广场,11-22K,3-5年,大专,硕年信息,互联网,分布式技术 负载均衡技术 搜索引擎技术 Spring,年终奖，免费班车，节日福利，交通补助，带薪年假，五险一金，员工旅游,/job_detail/1b47a376e82c8b751n162t29EFNX.html
Java,长沙·开福区·四方坪,8-13K·13薪,3-5年,本科,长沙翔宇科技,计算机软件,Java 分布式技术 C语言 网络交换技术,股票期权，购车无息贷款，补充医疗保险，年终奖，五险一金，节日福利，零食下午茶，出差补贴，子弟玩具费，带薪年假，员工旅游，餐补，飞机出差，购房无息贷款，生日津贴，父母慰问金，住房补贴，喜事红包，体育锻炼津贴,/job_detail/01ae7bc0712464b61nZ93d-5FlJS.html
Java,长沙·开福区·开福万达,8-13K,3-5年,大专,尼恩,计算机软件,分布式技术 消息队列 多线程 微服务架构,全勤奖，年终奖，零食下午茶，节日福利，员工旅游，加班补助，带薪年假,/job_detail/f4b42dc4065ea8431nJz2tW7FlJZ.html
JAVA,长沙,7-10K,1-3年,大专,成聪软件,计算机软件,Java,加班补助，五险一金，餐补，意外险，年终奖，节日福利,/job_detail/aa0bb419f77f86b51nB-39S6EFpX.html
Java,长沙·岳麓区·麓谷,13-20K·15薪,3-5年,本科,华为,计算机软件,多线程 消息队列 容器技术 MVC开发 SQL,股票期权，年终奖，定期体检，节日福利，餐补，五险一金，补充医疗保险，零食下午茶，员工旅游，加班补助,/job_detail/5aa103af221a38391XZ729S9FFRY.html
Java(长沙),长沙·岳麓区·麓谷,12-24K,1-3年,本科,中软国际,计算机软件,微服务架构 Spring GIT Maven,零食下午茶，定期体检，节日福利，员工旅游，带薪年假，加班补助，餐补，年终奖，五险一金，免费班车,/job_detail/4af372672682edee1XR709q5F1FV.html
Java开发,长沙·岳麓区·麓谷,9-12K,1-3年,本科,拓维云创,计算机软件,多线程 SQL 微服务架构 Spring Linux CSS,带薪年假，餐补，加班补助，五险一金，员工旅游，定期体检，节日福利,/job_detail/b0de01db3aae9ca01nJy09y7FVdW.html
Java开发,长沙·岳麓区·麓谷,11-20K,3-5年,本科,中软国际,计算机软件,Java SQL Spring Hibernate MVC开发 DBA,免费班车，零食下午茶，员工旅游，节日福利，年终奖，定期体检，餐补，加班补助，带薪年假，五险一金,/job_detail/45497c24d372ebcb0nx-3tq5ElU~.html
Java开发,长沙·雨花区·韶山中路,10-15K,3-5年,本科,天阳科技,计算机软件,分布式技术 消息队列 Spring Dubbo Oracle,五险一金，餐补，双休，带薪年假，节日福利,/job_detail/f004dcf02f5d0a731XZz39m_E1pZ.html
Java,长沙·岳麓区·人人乐,6-8K,1-3年,大专,湖南科卫机器人,智能硬件,Python Shell SQL,节日福利，通讯补贴，餐补，定期体检，五险一金，交通补助,/job_detail/b4f180382da00b971n182Nm6FltW.html
Java,长沙·雨花区·德思勤城市广场,15-30K,3-5年,本科,睿微智能,移动互联网,Java 图形图像处理 PC端 Web端 人脸识别,股票期权，年终奖，员工旅游，加班补助，节日福利，五险一金，带薪年假,/job_detail/7978a3a11510d4ab1nRy3966EFFQ.html
Java开发,长沙·岳麓区·麓谷,5-10K,1年以内,本科,湖大华龙,计算机软件,Java,全勤奖，带薪年假，定期体检，交通补助，节日福利，员工旅游，五险一金，年终奖，餐补，通讯补贴,/job_detail/d50bc0b32428a3491nN62tW9ElRZ.html
Java,长沙·岳麓区·麓谷,15-30K,经验不限,本科,华为,计算机软件,后端开发 微服务架构 软件工程师 SpringCloud,员工旅游，加班补助，定期体检，节日福利，年终奖，五险一金，零食下午茶，补充医疗保险，餐补，股票期权,/job_detail/ccb6ccf7ba39f19a1nx80t--ElBX.html
Java,长沙·岳麓区·麓谷,8-13K,经验不限,本科,志行正,计算机软件,Java,补充医疗保险，年终奖，零食下午茶，节日福利，交通补助，员工旅游，五险一金,/job_detail/24f3482eccd991bd1n1629-1F1JX.html
Java讲师,长沙·岳麓区·麓谷,5-10K,1-3年,大专,六星教育,在线教育,微服务架构 服务器配置 分布式技术 网络协议,补充医疗保险，节日福利，带薪年假，包吃，零食下午茶，交通补助,/job_detail/e184ead5c8eaa5001XZ739S6EVdY.html
Java讲师,长沙,8-12K,1-3年,本科,卓京文化,培训机构,HTML 微服务架构 SSH SSM Redis Oracle,年终奖，五险一金，交通补助，员工旅游，带薪年假，补充医疗保险,/job_detail/427c4ba3f9d29a911nF729q9EltS.html
Java,长沙·芙蓉区·荷花园,9-13K,1-3年,本科,中国电信,互联网,SpringBoot Spring GIT Maven,交通补助，节日福利，年终奖，补充医疗保险，定期体检，通讯补贴，带薪年假，意外险,/job_detail/0b1430fe453f53781XV4092_GVZR.html
java开发,长沙,6-9K,1年以内,本科,绛门科技,计算机软件,android,带薪年假，五险一金，定期体检，节日福利,/job_detail/bd6639a70c7a02261nFy39m_E1BY.html
Java开发,长沙·岳麓区·麓谷,10-15K,3-5年,大专,六星教育,在线教育,架构师 Java,零食下午茶，包吃，交通补助，带薪年假，补充医疗保险，节日福利,/job_detail/2103d6d18936384b33Nz3di4GVE~.html
高级Java,长沙·岳麓区·人人乐,12-15K,5-10年,本科,创智艾泰克,计算机软件,Java 微服务架构 Spring MySQL 计算机软件,员工旅游，节日福利，五险一金，带薪年假，定期体检，年终奖,/job_detail/eaef35b4e4ba05911nV42di5FFVU.html
Java,长沙·开福区·湘雅路,15-16K,1-3年,本科,湖南师创鹏博电子商务,电子商务,微服务架构,餐补，员工旅游，加班补助，住房补贴，带薪年假，五险一金，通讯补贴，节日福利，全勤奖，交通补助，年终奖,/job_detail/2323f9b1370160981XR_3N-6FFBT.html
Java,长沙·岳麓区·麓谷,20-40K·16薪,3-5年,本科,兴盛优选,电子商务,架构师 微服务架构 后端开发 Windows Spring,住房补贴，五险一金，健身房，股票期权，节日福利，多样化食堂，年终奖，餐补，零食下午茶，免费班车,/job_detail/5ec90c7c7689db6f1XR72ty0GVJY.html
